001  00222 |Loss: 38.962 | Acc: 44.437% 
001  00223 |Loss: 38.960 | Acc: 44.484% 
001  00224 |Loss: 38.957 | Acc: 44.598% 
001  00225 |Loss: 38.954 | Acc: 44.667% 
001  00226 |Loss: 38.952 | Acc: 44.779% 
001  00227 |Loss: 38.949 | Acc: 44.890% 
001  00228 |Loss: 38.948 | Acc: 44.956% 
001  00229 |Loss: 38.945 | Acc: 45.022% 
001  00230 |Loss: 38.944 | Acc: 45.065% 
001  00231 |Loss: 38.943 | Acc: 45.065% 
001  00232 |Loss: 38.940 | Acc: 45.151% 
001  00233 |Loss: 38.937 | Acc: 45.193% 
001  00234 |Loss: 38.936 | Acc: 45.214% 
001  00235 |Loss: 38.935 | Acc: 45.277% 
001  00236 |Loss: 38.933 | Acc: 45.360% 
001  00237 |Loss: 38.930 | Acc: 45.464% 
001  00238 |Loss: 38.927 | Acc: 45.567% 
001  00239 |Loss: 38.927 | Acc: 45.544% 
001  00240 |Loss: 38.924 | Acc: 45.562% 
001  00241 |Loss: 38.922 | Acc: 45.664% 
001  00242 |Loss: 38.920 | Acc: 45.723% 
001  00243 |Loss: 38.919 | Acc: 45.761% 
001  00244 |Loss: 38.918 | Acc: 45.820% 
001  00245 |Loss: 38.916 | Acc: 45.878% 
001  00246 |Loss: 38.915 | Acc: 45.874% 
001  00247 |Loss: 38.913 | Acc: 45.911% 
001  00248 |Loss: 38.910 | Acc: 46.008% 
001  00249 |Loss: 38.909 | Acc: 46.084% 
001  00250 |Loss: 38.907 | Acc: 46.140% 
001  00251 |Loss: 38.905 | Acc: 46.135% 
001  00252 |Loss: 38.903 | Acc: 46.151% 
001  00253 |Loss: 38.901 | Acc: 46.206% 
001  00254 |Loss: 38.900 | Acc: 46.220% 
001  00255 |Loss: 38.899 | Acc: 46.216% 
001  00256 |Loss: 38.896 | Acc: 46.309% 
001  00257 |Loss: 38.893 | Acc: 46.401% 
001  00258 |Loss: 38.892 | Acc: 46.434% 
001  00259 |Loss: 38.891 | Acc: 46.467% 
001  00260 |Loss: 38.890 | Acc: 46.519% 
001  00261 |Loss: 38.888 | Acc: 46.609% 
001  00262 |Loss: 38.886 | Acc: 46.641% 
001  00263 |Loss: 38.885 | Acc: 46.730% 
001  00264 |Loss: 38.884 | Acc: 46.686% 
001  00265 |Loss: 38.882 | Acc: 46.755% 
001  00266 |Loss: 38.880 | Acc: 46.805% 
001  00267 |Loss: 38.878 | Acc: 46.929% 
001  00268 |Loss: 38.876 | Acc: 46.922% 
001  00269 |Loss: 38.874 | Acc: 47.026% 
001  00270 |Loss: 38.871 | Acc: 47.167% 
001  00271 |Loss: 38.868 | Acc: 47.251% 
001  00272 |Loss: 38.866 | Acc: 47.353% 
001  00273 |Loss: 38.864 | Acc: 47.399% 
001  00274 |Loss: 38.862 | Acc: 47.482% 
001  00275 |Loss: 38.861 | Acc: 47.491% 
001  00276 |Loss: 38.859 | Acc: 47.554% 
001  00277 |Loss: 38.856 | Acc: 47.653% 
001  00278 |Loss: 38.855 | Acc: 47.716% 
001  00279 |Loss: 38.854 | Acc: 47.760% 
001  00280 |Loss: 38.853 | Acc: 47.786% 
001  00281 |Loss: 38.852 | Acc: 47.829% 
001  00282 |Loss: 38.849 | Acc: 47.926% 
001  00283 |Loss: 38.849 | Acc: 47.880% 
001  00284 |Loss: 38.847 | Acc: 47.993% 
001  00285 |Loss: 38.844 | Acc: 48.070% 
001  00286 |Loss: 38.843 | Acc: 48.112% 
001  00287 |Loss: 38.842 | Acc: 48.136% 
001  00288 |Loss: 38.840 | Acc: 48.212% 
001  00289 |Loss: 38.839 | Acc: 48.253% 
001  00290 |Loss: 38.837 | Acc: 48.328% 
001  00291 |Loss: 38.835 | Acc: 48.385% 
001  00292 |Loss: 38.832 | Acc: 48.425% 
001  00293 |Loss: 38.830 | Acc: 48.481% 
001  00294 |Loss: 38.828 | Acc: 48.537% 
001  00295 |Loss: 38.825 | Acc: 48.593% 
001  00296 |Loss: 38.824 | Acc: 48.581% 
001  00297 |Loss: 38.823 | Acc: 48.653% 
001  00298 |Loss: 38.821 | Acc: 48.742% 
001  00299 |Loss: 38.818 | Acc: 48.846% 
001  00300 |Loss: 38.816 | Acc: 48.917% 
001  00301 |Loss: 38.815 | Acc: 48.970% 
001  00302 |Loss: 38.814 | Acc: 48.957% 
001  00303 |Loss: 38.812 | Acc: 48.993% 
001  00304 |Loss: 38.812 | Acc: 49.013% 
001  00305 |Loss: 38.811 | Acc: 49.000% 
001  00306 |Loss: 38.809 | Acc: 49.085% 
001  00307 |Loss: 38.807 | Acc: 49.153% 
001  00308 |Loss: 38.805 | Acc: 49.221% 
001  00309 |Loss: 38.802 | Acc: 49.320% 
001  00310 |Loss: 38.800 | Acc: 49.323% 
001  00311 |Loss: 38.800 | Acc: 49.309% 
001  00312 |Loss: 38.799 | Acc: 49.343% 
001  00313 |Loss: 38.798 | Acc: 49.281% 
001  00314 |Loss: 38.798 | Acc: 49.252% 
001  00315 |Loss: 38.797 | Acc: 49.270% 
001  00316 |Loss: 38.795 | Acc: 49.335% 
001  00317 |Loss: 38.794 | Acc: 49.401% 
001  00318 |Loss: 38.792 | Acc: 49.465% 
001  00319 |Loss: 38.790 | Acc: 49.530% 
001  00320 |Loss: 38.788 | Acc: 49.578% 
001  00321 |Loss: 38.785 | Acc: 49.688% 
001  00322 |Loss: 38.783 | Acc: 49.736% 
001  00323 |Loss: 38.781 | Acc: 49.814% 
001  00324 |Loss: 38.780 | Acc: 49.830% 
001  00325 |Loss: 38.777 | Acc: 49.877% 
001  00326 |Loss: 38.776 | Acc: 49.939% 
001  00327 |Loss: 38.774 | Acc: 49.985% 
001  00328 |Loss: 38.772 | Acc: 50.046% 
001  00329 |Loss: 38.770 | Acc: 50.106% 
001  00330 |Loss: 38.770 | Acc: 50.136% 
001  00331 |Loss: 38.767 | Acc: 50.227% 
001  00332 |Loss: 38.766 | Acc: 50.271% 
001  00333 |Loss: 38.765 | Acc: 50.285% 
001  00334 |Loss: 38.763 | Acc: 50.389% 
001  00335 |Loss: 38.760 | Acc: 50.448% 
001  00336 |Loss: 38.759 | Acc: 50.491% 
001  00337 |Loss: 38.757 | Acc: 50.549% 
001  00338 |Loss: 38.756 | Acc: 50.607% 
001  00339 |Loss: 38.754 | Acc: 50.664% 
001  00340 |Loss: 38.752 | Acc: 50.706% 
001  00341 |Loss: 38.751 | Acc: 50.674% 
001  00342 |Loss: 38.749 | Acc: 50.775% 
001  00343 |Loss: 38.748 | Acc: 50.758% 
001  00344 |Loss: 38.747 | Acc: 50.756% 
001  00345 |Loss: 38.746 | Acc: 50.812% 
001  00346 |Loss: 38.744 | Acc: 50.853% 
001  00347 |Loss: 38.743 | Acc: 50.951% 
001  00348 |Loss: 38.741 | Acc: 50.991% 
001  00349 |Loss: 38.741 | Acc: 51.003% 
001  00350 |Loss: 38.740 | Acc: 51.000% 
001  00351 |Loss: 38.739 | Acc: 51.026% 
001  00352 |Loss: 38.738 | Acc: 51.009% 
001  00353 |Loss: 38.737 | Acc: 51.034% 
001  00354 |Loss: 38.735 | Acc: 51.088% 
001  00355 |Loss: 38.733 | Acc: 51.141% 
001  00356 |Loss: 38.733 | Acc: 51.110% 
001  00357 |Loss: 38.732 | Acc: 51.176% 
001  00358 |Loss: 38.732 | Acc: 51.131% 
001  00359 |Loss: 38.731 | Acc: 51.184% 
001  00360 |Loss: 38.729 | Acc: 51.278% 
001  00361 |Loss: 38.727 | Acc: 51.316% 
001  00362 |Loss: 38.726 | Acc: 51.340% 
001  00363 |Loss: 38.725 | Acc: 51.336% 
001  00364 |Loss: 38.723 | Acc: 51.387% 
001  00365 |Loss: 38.723 | Acc: 51.411% 
001  00366 |Loss: 38.721 | Acc: 51.489% 
001  00367 |Loss: 38.719 | Acc: 51.540% 
001  00368 |Loss: 38.718 | Acc: 51.549% 
001  00369 |Loss: 38.716 | Acc: 51.585% 
001  00370 |Loss: 38.715 | Acc: 51.595% 
001  00371 |Loss: 38.714 | Acc: 51.617% 
001  00372 |Loss: 38.713 | Acc: 51.653% 
001  00373 |Loss: 38.712 | Acc: 51.649% 
001  00374 |Loss: 38.711 | Acc: 51.644% 
001  00375 |Loss: 38.710 | Acc: 51.613% 
001  00376 |Loss: 38.709 | Acc: 51.649% 
001  00377 |Loss: 38.708 | Acc: 51.618% 
001  00378 |Loss: 38.706 | Acc: 51.653% 
001  00379 |Loss: 38.705 | Acc: 51.689% 
001  00380 |Loss: 38.704 | Acc: 51.724% 
001  00381 |Loss: 38.703 | Acc: 51.759% 
001  00382 |Loss: 38.701 | Acc: 51.819% 
001  00383 |Loss: 38.700 | Acc: 51.893% 
001  00384 |Loss: 38.699 | Acc: 51.901% 
001  00385 |Loss: 38.698 | Acc: 51.922% 
001  00386 |Loss: 38.697 | Acc: 51.956% 
001  00387 |Loss: 38.696 | Acc: 51.977% 
001  00388 |Loss: 38.694 | Acc: 52.023% 
001  00389 |Loss: 38.693 | Acc: 52.057% 
001  00390 |Loss: 38.692 | Acc: 52.103% 
001  00391 |Loss: 38.692 | Acc: 52.097% 
001  00392 |Loss: 38.691 | Acc: 52.143% 
001  00393 |Loss: 38.690 | Acc: 52.150% 
001  00394 |Loss: 38.689 | Acc: 52.145% 
001  00395 |Loss: 38.688 | Acc: 52.215% 
001  00396 |Loss: 38.687 | Acc: 52.247% 
001  00397 |Loss: 38.686 | Acc: 52.267% 
001  00398 |Loss: 38.686 | Acc: 52.286% 
001  00399 |Loss: 38.685 | Acc: 52.318% 
001  00400 |Loss: 38.683 | Acc: 52.388% 
001  00401 |Loss: 38.682 | Acc: 52.431% 
001  00402 |Loss: 38.681 | Acc: 52.463% 
001  00403 |Loss: 38.680 | Acc: 52.481% 
001  00404 |Loss: 38.679 | Acc: 52.500% 
001  00405 |Loss: 38.678 | Acc: 52.531% 
001  00406 |Loss: 38.676 | Acc: 52.562% 
001  00407 |Loss: 38.676 | Acc: 52.580% 
001  00408 |Loss: 38.675 | Acc: 52.586% 
001  00409 |Loss: 38.674 | Acc: 52.641% 
001  00410 |Loss: 38.673 | Acc: 52.659% 
001  00411 |Loss: 38.673 | Acc: 52.689% 
001  00412 |Loss: 38.671 | Acc: 52.718% 
001  00413 |Loss: 38.671 | Acc: 52.724% 
